TransactionAmt,card1,card2,addr1,dist1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,TransactionHour,TransactionDay,TransactionAmt_to_mean_card1,TransactionAmt_to_std_card1,time_delta_card1
452.25000000000006,14275,111.0,494.0,-999.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19,5,1.8664499975052988,0.999378767552057,766727.4
145.73250000000002,15385,111.0,441.0,15.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16,3,1.3803920318404237,0.6394054702733457,5383.2
284.7825,15757,322.0,299.0,2182.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,19,6,1.24575137618021,0.6123697907919963,35154.6
776.2365000000001,15368,543.0,264.0,-999.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,5.52791074225825,3.9019232705628726,398468.39999999997
74.73195,15257,375.0,-999.0,-999.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,20,5,2.4182082950734913,1.8984729300895367,163.79999999999998
67.4595,17729,300.0,325.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,23,0,0.4854554776927516,0.23930028138705647,4537.8
126.83250000000001,13073,555.0,231.0,23.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,17,1,1.643232554712676,1.566621061869773,102318.59999999999
145.73250000000002,18385,555.0,191.0,7.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,15,4,2.69913559075048,2.540737616754406,55.8
66.15,17404,581.0,325.0,-999.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,18,1,0.4409472008648021,0.29666547873510374,602.4
79.58250000000001,12501,490.0,204.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,18,6,0.6798308104168439,0.34443558886738695,4386.0
147.22830000000002,2650,142.0,-999.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,20,3,4.142675249560797,3.339401943191201,1027.2
72.8595,5286,-999.0,264.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,23,5,0.9887225161602746,0.5175645276645223,18206.399999999998
47.72385,15885,545.0,-999.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22,6,1.2543665277474467,0.9771445593929092,797.4
72.9,7680,360.0,299.0,11.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,21,4,0.6524121659661689,0.2374782620143061,166.2
79.65,5291,442.0,204.0,-999.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23,0,0.7490498785762315,0.4715503811248036,15838.8
78.23250000000002,9485,111.0,315.0,-999.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2,1,0.8290095572331889,0.4421106176965649,9576.0
43.1325,8851,111.0,220.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6,6,0.27843054723776345,0.19623795364307248,309246.6
72.8595,10057,225.0,315.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,18,5,0.6285539003984105,0.2573806826564213,46.8
290.1825,9500,321.0,330.0,-999.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19,6,2.600993014534804,1.1115849028853486,514.8
107.81505,15885,545.0,-999.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,17,4,2.833794631141816,2.207510281089528,1170.6
230.85000000000002,16865,145.0,433.0,6.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,19,1,1.764564161506034,1.6680973383556637,45765.0
422.4825,1675,174.0,330.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,13,2,4.29226607625749,1.7459484111031212,187.79999999999998
145.73250000000002,9500,321.0,272.0,22.0,7.0,7.0,0.0,0.0,2.0,7.0,0.0,0.0,6.0,0.0,20,4,1.3062442238615124,0.5582488498091341,439.8
145.73250000000002,15497,490.0,299.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,23,1,1.084529025636181,0.537501096497226,207.6
287.55,3178,490.0,387.0,-999.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23,3,1.8209112573462,0.9782999180345494,533.4
157.95000000000002,12932,361.0,126.0,34.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,17,2,1.334285249940996,0.5807027699553874,1501.8
145.73250000000002,17131,111.0,264.0,-999.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,15,5,1.1717378617536975,0.45377752246802394,9144.6
78.23250000000002,11162,346.0,485.0,-999.0,165.0,154.0,0.0,0.0,125.0,121.0,0.0,0.0,107.0,0.0,18,1,0.6473851836418665,0.3292209165890743,2943.6
20.25,5436,555.0,264.0,-999.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,4,5,0.28428989328443777,0.24379250436158867,46558.2
183.5919,4907,555.0,-999.0,-999.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,21,3,3.099144442078942,3.1658695491047246,2306748.6
52.650000000000006,14712,111.0,264.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,17,0,0.3728355599483596,0.17423256387763222,80133.59999999999
79.65,15986,360.0,441.0,4.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,20,5,0.943588759575584,0.5498467608816322,8538.0
147.0825,18132,567.0,476.0,-999.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19,1,1.23589794190661,0.5653354913371464,529.8
64.7325,15185,332.0,264.0,7.0,49.0,53.0,0.0,0.0,35.0,61.0,0.0,0.0,52.0,0.0,4,4,0.6521013286703443,0.41185023067471505,17820.6
59.33250000000001,7919,194.0,231.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1,5,0.6079447761299188,0.37618917227485343,108.6
43.82235,1976,545.0,-999.0,-999.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,13,3,0.837364264914751,0.6481762522591559,41526.6
230.85000000000002,1906,445.0,420.0,-999.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,2,2.1223598877029293,1.2220640302311236,526.1999999999999
43.49025000000001,9633,130.0,-999.0,-999.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,4,5,1.0259544878638394,0.7879715288415771,1059.0
3966.7455,7815,161.0,123.0,-999.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,23,4,36.611740383206346,16.163232237652828,2971.7999999999997
37.597500000000004,11201,103.0,-999.0,-999.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,22,3,0.8295618351461088,0.6320764006535674,565.1999999999999
144.45000000000002,17188,321.0,299.0,51.0,8.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,23,6,1.1555783781888855,0.5750409642618356,331.8
39.150000000000006,2884,490.0,325.0,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22,6,0.36565961804228153,0.17884644686433923,922.1999999999999
145.73250000000002,7508,321.0,428.0,-999.0,4.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,2,4,1.2003940616710473,0.5878684774292612,718.8
145.73250000000002,14292,512.0,264.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3,6,1.7990697779667304,1.7185423090901686,266394.0
4508.9325,13249,111.0,264.0,-999.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15,1,38.98609985581422,17.87687908609431,2780.4
78.23250000000002,1214,174.0,269.0,8.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,4,0.3967737131080873,0.16506416534861024,53541.6
